taxa,CIR10d
R163,0.800000000000001
R164,0.500000000000001
R165,0.785185185000001
R166,0.774074074333334
R168,0.837037036666668
R169,0.840740740666668
R170,0.629629629666668
R171,0.774074074000001
R174,0.766666666666668
R177,0.399999999666668
R178,0.325925926000001
R180,0.833333333333334
R182,0.825925926000001
R184,0.947937783905054
R186,0.881271117405054
R188,0.875715561905054
R189,0.825925926000001
R191,0.644444444666668
R192,0.692592592666668
R194,0.712270475492882
R195,0.770370370333334
R199,0.929629629333335
R203,0.892592592333335
R205,0.837037037333334
R207,0.814814814666668
R208,0.611111111333334
R209,0.507407407333334
R308,0.722222222333334
R309,0.640740740666668
R310,0.803703703666668
R324,0.874074074000001
R325,0.862962963000001
R326,0.777777777666668
R327,0.874074074000001
R332,0.918518518666668
R335,0.907407407333335
R337,0.662962963000001
R344,0.570160006405054
R345,0.670370370666668
R347,0.822222222333334
R356,0.774074074000001
R359,0.711111111333334
R360,0.488888889000001
R361,0.529629629666668
R364,0.681481481666668
R374,0.826346654189895
R377,0.644444444666668
R382,0.859259259333334
R389,0.800000000000001
R392,0.588888888666668
R393,0.648148148000001
R394,0.659259259333334
R397,0.614814815000001
R398,0.637037037000001
R399,0.437037037000001
R400,0.873381586492882
R401,0.681481481333334
R403,0.911111111000001
R404,0.777777777666667
R405,0.829629630000001
R411,0.825925926000001
R425,0.592382228405054
R428,0.540740740666668
R431,0.875715561905054
R437,0.770160005905054
R440,0.888888888666668
R442,0.755555555333334
R448,0.788888889000001
R460,0.759259259000001
R462,0.862962963000001
R467,0.703703703666668
R471,0.770370370333334
R473,0.566666666666668
R485,0.900000000333335
R487,0.274074074000001
R491,0.596296296333334
R493,0.692592592666668
R504,0.774074074333334
R505,0.670370370333334
R510,0.762962963000001
R514,0.848148148000001
R515,0.426346654189895
R516,0.792592592666668
R518,0.829629629333334
R521,0.848148148333334
R523,0.562962963000001
R528,0.629629629666668
R531,0.785185185333334
R534,0.677777778000001
R535,0.822222222000001
R536,0.722222222333334
R537,0.870370370666668
R538,0.677777778000001
R542,0.674074074000001
R544,0.803703703666668
R546,0.744444444333334
R547,0.744444444333334
R548,0.944444444666668
R553,0.612013962602067
R558,0.651851852000001
R561,0.466666666666668
R565,0.929629629666668
R567,0.796296296333334
R568,0.777777778000001
R569,0.766666666666667
R571,0.748148148333334
R572,0.840740740666668
R573,0.740740740666668
R574,0.700902851602067
R575,0.844444444333334
R576,0.629629629666668
R577,0.759259259333334
R579,0.144444444666667
R580,0.459259259333335
R581,0.381481481333334
R584,0.825925925666668
R585,0.866666667000001
R591,0.359259259333334
R592,0.800000000000001
R594,0.270370370333334
R597,0.512013962602067
R598,0.734236184602067
R599,0.739791740602067
R600,0.434236185102067
R602,0.822222222333334
R603,0.884236185102067
R605,0.328680629102067
R606,0.762013963102067
R611,0.678680629102067
R613,0.384236185102067
R68,0.903703703333335
R69,0.814814815000001
R72,0.929629629666668
R73,0.681481481333334
R75,0.544444444333334
R77,0.814814815000001
R78,0.548148148333334
R80,0.548148148333334
R83,0.877777778000001
R86,0.574074074000001
R87,0.348148148000001
R88,0.611111111000001
R89,0.922222222333335
R90,0.611111111333334
R91,0.759259259666668
R93,0.818518518666668
R94,0.703493339405054
R95,0.764604450405054
R96,0.786826672905054
R97,0.664604450905054
R99,0.781481481666668
